# Starting date:             2014-09-24 23:17:05
# Cluster job ID:            8725384
# Cluster node:              hnode29
# Cluster queue:             mpi.q
# Complementation algorithm: piterman -eq -macc -sim -ro -r
# Data:                      test_set_s20.tar.gz
# Memory limit (Java heap):  1G
# Timeout (CPU time):        600s
states	t_out	m_out	real_t	tcpu_t	ucpu_t	scpu_t	dt	da	file
97	N	N	1.870	3.744	3.565	0.179	1.0	0.1	s20_t1.0_a0.1_001.gff
475	N	N	2.933	6.035	5.802	0.233	1.0	0.1	s20_t1.0_a0.1_002.gff
3133	N	N	54.603	69.721	68.940	0.781	1.0	0.1	s20_t1.0_a0.1_003.gff
956	N	N	7.627	11.885	11.606	0.279	1.0	0.1	s20_t1.0_a0.1_004.gff
588	N	N	5.136	8.943	8.685	0.258	1.0	0.1	s20_t1.0_a0.1_005.gff
78	N	N	1.893	3.897	3.740	0.157	1.0	0.1	s20_t1.0_a0.1_006.gff
73	N	N	1.910	3.838	3.672	0.166	1.0	0.1	s20_t1.0_a0.1_007.gff
57	N	N	1.597	3.110	2.968	0.142	1.0	0.1	s20_t1.0_a0.1_008.gff
28	N	N	1.527	2.982	2.826	0.156	1.0	0.1	s20_t1.0_a0.1_009.gff
94	N	N	1.751	3.391	3.259	0.132	1.0	0.1	s20_t1.0_a0.1_010.gff
232	N	N	2.410	5.316	5.083	0.233	1.0	0.1	s20_t1.0_a0.1_011.gff
117	N	N	1.786	3.511	3.340	0.171	1.0	0.1	s20_t1.0_a0.1_012.gff
7	N	N	1.472	2.871	2.723	0.148	1.0	0.1	s20_t1.0_a0.1_013.gff
246	N	N	2.392	5.258	5.030	0.228	1.0	0.1	s20_t1.0_a0.1_014.gff
135	N	N	1.869	3.852	3.659	0.193	1.0	0.1	s20_t1.0_a0.1_015.gff
1473	N	N	15.902	21.950	21.535	0.415	1.0	0.1	s20_t1.0_a0.1_016.gff
44	N	N	1.668	3.364	3.184	0.180	1.0	0.1	s20_t1.0_a0.1_017.gff
1534	N	N	21.101	29.229	28.753	0.476	1.0	0.1	s20_t1.0_a0.1_018.gff
431	N	N	3.117	6.124	5.879	0.245	1.0	0.1	s20_t1.0_a0.1_019.gff
3	N	N	1.498	2.857	2.693	0.164	1.0	0.1	s20_t1.0_a0.1_020.gff
216	N	N	2.833	6.640	6.368	0.272	1.0	0.1	s20_t1.0_a0.1_021.gff
328	N	N	3.641	7.385	7.122	0.263	1.0	0.1	s20_t1.0_a0.1_022.gff
2572	N	N	23.345	31.193	30.702	0.491	1.0	0.1	s20_t1.0_a0.1_023.gff
22	N	N	1.626	3.215	3.077	0.138	1.0	0.1	s20_t1.0_a0.1_024.gff
985	N	N	7.666	12.547	12.182	0.365	1.0	0.1	s20_t1.0_a0.1_025.gff
212	N	N	2.245	4.610	4.386	0.224	1.0	0.1	s20_t1.0_a0.1_026.gff
283	N	N	2.393	4.965	4.728	0.237	1.0	0.1	s20_t1.0_a0.1_027.gff
43	N	N	1.633	3.145	2.963	0.182	1.0	0.1	s20_t1.0_a0.1_028.gff
81	N	N	1.786	3.510	3.340	0.170	1.0	0.1	s20_t1.0_a0.1_029.gff
758	N	N	6.265	10.766	10.442	0.324	1.0	0.1	s20_t1.0_a0.1_030.gff
793	N	N	7.664	12.779	12.424	0.355	1.0	0.1	s20_t1.0_a0.1_031.gff
34	N	N	1.756	3.509	3.316	0.193	1.0	0.1	s20_t1.0_a0.1_032.gff
84	N	N	1.921	3.853	3.666	0.187	1.0	0.1	s20_t1.0_a0.1_033.gff
336	N	N	2.720	5.575	5.299	0.276	1.0	0.1	s20_t1.0_a0.1_034.gff
125	N	N	2.111	4.223	4.024	0.199	1.0	0.1	s20_t1.0_a0.1_035.gff
121	N	N	1.843	3.666	3.502	0.164	1.0	0.1	s20_t1.0_a0.1_036.gff
200	N	N	18.094	24.822	24.336	0.486	1.0	0.1	s20_t1.0_a0.1_037.gff
185	N	N	2.327	4.909	4.672	0.237	1.0	0.1	s20_t1.0_a0.1_038.gff
296	N	N	3.771	7.462	7.182	0.280	1.0	0.1	s20_t1.0_a0.1_039.gff
125	N	N	2.168	4.317	4.108	0.209	1.0	0.1	s20_t1.0_a0.1_040.gff
407	N	N	2.974	5.853	5.607	0.246	1.0	0.1	s20_t1.0_a0.1_041.gff
164	N	N	2.292	4.792	4.559	0.233	1.0	0.1	s20_t1.0_a0.1_042.gff
380	N	N	4.238	8.151	7.869	0.282	1.0	0.1	s20_t1.0_a0.1_043.gff
265	N	N	2.932	5.679	5.458	0.221	1.0	0.1	s20_t1.0_a0.1_044.gff
4861	N	N	76.545	92.603	91.790	0.813	1.0	0.1	s20_t1.0_a0.1_045.gff
4836	N	N	69.713	85.839	85.037	0.802	1.0	0.1	s20_t1.0_a0.1_046.gff
1402	N	N	18.378	24.657	24.245	0.412	1.0	0.1	s20_t1.0_a0.1_047.gff
156	N	N	2.455	5.320	5.069	0.251	1.0	0.1	s20_t1.0_a0.1_048.gff
286	N	N	3.337	6.742	6.496	0.246	1.0	0.1	s20_t1.0_a0.1_049.gff
190	N	N	2.169	4.477	4.212	0.265	1.0	0.1	s20_t1.0_a0.1_050.gff
1283	N	N	9.284	14.710	14.362	0.348	1.0	0.1	s20_t1.0_a0.1_051.gff
40	N	N	1.659	3.313	3.141	0.172	1.0	0.1	s20_t1.0_a0.1_052.gff
193	N	N	2.463	5.169	4.906	0.263	1.0	0.1	s20_t1.0_a0.1_053.gff
18	N	N	1.566	3.131	2.944	0.187	1.0	0.1	s20_t1.0_a0.1_054.gff
11	N	N	1.487	2.958	2.819	0.139	1.0	0.1	s20_t1.0_a0.1_055.gff
40	N	N	1.800	3.642	3.461	0.181	1.0	0.1	s20_t1.0_a0.1_056.gff
53	N	N	1.987	4.168	3.971	0.197	1.0	0.1	s20_t1.0_a0.1_057.gff
105	N	N	2.143	4.467	4.268	0.199	1.0	0.1	s20_t1.0_a0.1_058.gff
26	N	N	2.993	6.426	6.118	0.308	1.0	0.1	s20_t1.0_a0.1_059.gff
161	N	N	2.633	5.851	5.579	0.272	1.0	0.1	s20_t1.0_a0.1_060.gff
868	N	N	7.155	12.013	11.693	0.320	1.0	0.1	s20_t1.0_a0.1_061.gff
23	N	N	1.626	3.260	3.094	0.166	1.0	0.1	s20_t1.0_a0.1_062.gff
193	N	N	2.246	4.722	4.498	0.224	1.0	0.1	s20_t1.0_a0.1_063.gff
27	N	N	3.360	6.931	6.647	0.284	1.0	0.1	s20_t1.0_a0.1_064.gff
200	N	N	2.304	4.779	4.514	0.265	1.0	0.1	s20_t1.0_a0.1_065.gff
273	N	N	2.608	5.340	5.084	0.256	1.0	0.1	s20_t1.0_a0.1_066.gff
206	N	N	2.516	5.131	4.858	0.273	1.0	0.1	s20_t1.0_a0.1_067.gff
106	N	N	2.068	4.295	4.088	0.207	1.0	0.1	s20_t1.0_a0.1_068.gff
253	N	N	2.580	5.622	5.359	0.263	1.0	0.1	s20_t1.0_a0.1_069.gff
84	N	N	1.893	3.814	3.632	0.182	1.0	0.1	s20_t1.0_a0.1_070.gff
466	N	N	3.292	6.475	6.192	0.283	1.0	0.1	s20_t1.0_a0.1_071.gff
105	N	N	1.935	3.925	3.745	0.180	1.0	0.1	s20_t1.0_a0.1_072.gff
99	N	N	2.135	4.455	4.237	0.218	1.0	0.1	s20_t1.0_a0.1_073.gff
265	N	N	4.156	8.431	8.081	0.350	1.0	0.1	s20_t1.0_a0.1_074.gff
753	N	N	4.954	9.330	9.018	0.312	1.0	0.1	s20_t1.0_a0.1_075.gff
954	N	N	5.755	10.395	10.062	0.333	1.0	0.1	s20_t1.0_a0.1_076.gff
105	N	N	2.258	4.642	4.386	0.256	1.0	0.1	s20_t1.0_a0.1_077.gff
292	N	N	2.882	5.740	5.479	0.261	1.0	0.1	s20_t1.0_a0.1_078.gff
48	N	N	1.730	3.465	3.267	0.198	1.0	0.1	s20_t1.0_a0.1_079.gff
31	N	N	1.643	3.257	3.084	0.173	1.0	0.1	s20_t1.0_a0.1_080.gff
968	N	N	10.778	16.165	15.792	0.373	1.0	0.1	s20_t1.0_a0.1_081.gff
178	N	N	2.737	5.460	5.203	0.257	1.0	0.1	s20_t1.0_a0.1_082.gff
142	N	N	2.132	4.422	4.227	0.195	1.0	0.1	s20_t1.0_a0.1_083.gff
98	N	N	2.087	4.433	4.213	0.220	1.0	0.1	s20_t1.0_a0.1_084.gff
244	N	N	2.889	5.740	5.480	0.260	1.0	0.1	s20_t1.0_a0.1_085.gff
422	N	N	5.472	10.042	9.711	0.331	1.0	0.1	s20_t1.0_a0.1_086.gff
45	N	N	1.606	3.249	3.086	0.163	1.0	0.1	s20_t1.0_a0.1_087.gff
617	N	N	3.916	7.298	7.046	0.252	1.0	0.1	s20_t1.0_a0.1_088.gff
842	N	N	4.753	8.941	8.667	0.274	1.0	0.1	s20_t1.0_a0.1_089.gff
794	N	N	5.550	9.357	9.053	0.304	1.0	0.1	s20_t1.0_a0.1_090.gff
122	N	N	1.901	3.624	3.448	0.176	1.0	0.1	s20_t1.0_a0.1_091.gff
60	N	N	1.712	3.351	3.180	0.171	1.0	0.1	s20_t1.0_a0.1_092.gff
264	N	N	2.530	5.119	4.886	0.233	1.0	0.1	s20_t1.0_a0.1_093.gff
96	N	N	1.787	3.591	3.423	0.168	1.0	0.1	s20_t1.0_a0.1_094.gff
6779	N	N	208.361	310.341	304.056	6.285	1.0	0.1	s20_t1.0_a0.1_095.gff
8840	N	N	264.369	453.542	452.049	1.493	1.0	0.1	s20_t1.0_a0.1_096.gff
2206	N	N	17.051	24.621	24.142	0.479	1.0	0.1	s20_t1.0_a0.1_097.gff
484	N	N	4.782	9.141	8.822	0.319	1.0	0.1	s20_t1.0_a0.1_098.gff
2297	N	N	35.289	47.020	46.406	0.614	1.0	0.1	s20_t1.0_a0.1_099.gff
604	N	N	4.891	9.128	8.831	0.297	1.0	0.1	s20_t1.0_a0.1_100.gff
59	N	N	1.887	3.799	3.592	0.207	1.0	0.2	s20_t1.0_a0.2_001.gff
119	N	N	2.003	4.107	3.929	0.178	1.0	0.2	s20_t1.0_a0.2_002.gff
84	N	N	1.834	3.781	3.583	0.198	1.0	0.2	s20_t1.0_a0.2_003.gff
429	N	N	3.669	6.983	6.697	0.286	1.0	0.2	s20_t1.0_a0.2_004.gff
35	N	N	1.688	3.353	3.174	0.179	1.0	0.2	s20_t1.0_a0.2_005.gff
87	N	N	1.822	3.761	3.555	0.206	1.0	0.2	s20_t1.0_a0.2_006.gff
71	N	N	1.827	3.714	3.528	0.186	1.0	0.2	s20_t1.0_a0.2_007.gff
373	N	N	2.991	5.858	5.622	0.236	1.0	0.2	s20_t1.0_a0.2_008.gff
943	N	N	5.002	9.497	9.173	0.324	1.0	0.2	s20_t1.0_a0.2_009.gff
428	N	N	3.084	5.861	5.606	0.255	1.0	0.2	s20_t1.0_a0.2_010.gff
114	N	N	2.006	4.159	3.962	0.197	1.0	0.2	s20_t1.0_a0.2_011.gff
50	N	N	1.783	3.635	3.450	0.185	1.0	0.2	s20_t1.0_a0.2_012.gff
11	N	N	1.538	2.923	2.756	0.167	1.0	0.2	s20_t1.0_a0.2_013.gff
39	N	N	1.711	3.430	3.247	0.183	1.0	0.2	s20_t1.0_a0.2_014.gff
1577	N	N	17.145	24.407	23.949	0.458	1.0	0.2	s20_t1.0_a0.2_015.gff
2	N	N	1.372	2.798	2.637	0.161	1.0	0.2	s20_t1.0_a0.2_016.gff
58	N	N	1.714	3.475	3.316	0.159	1.0	0.2	s20_t1.0_a0.2_017.gff
835	N	N	6.789	11.707	11.386	0.321	1.0	0.2	s20_t1.0_a0.2_018.gff
67	N	N	1.821	3.689	3.509	0.180	1.0	0.2	s20_t1.0_a0.2_019.gff
118	N	N	2.119	4.403	4.186	0.217	1.0	0.2	s20_t1.0_a0.2_020.gff
NA	N	Y	39.191	106.416	105.435	0.981	1.0	0.2	s20_t1.0_a0.2_021.gff
13	N	N	1.510	2.981	2.831	0.150	1.0	0.2	s20_t1.0_a0.2_022.gff
88	N	N	2.005	4.146	3.951	0.195	1.0	0.2	s20_t1.0_a0.2_023.gff
70	N	N	1.914	3.925	3.756	0.169	1.0	0.2	s20_t1.0_a0.2_024.gff
14	N	N	1.539	3.030	2.870	0.160	1.0	0.2	s20_t1.0_a0.2_025.gff
100	N	N	2.176	4.489	4.254	0.235	1.0	0.2	s20_t1.0_a0.2_026.gff
73	N	N	1.992	4.159	3.955	0.204	1.0	0.2	s20_t1.0_a0.2_027.gff
172	N	N	2.551	5.271	5.009	0.262	1.0	0.2	s20_t1.0_a0.2_028.gff
236	N	N	2.914	6.378	6.079	0.299	1.0	0.2	s20_t1.0_a0.2_029.gff
44	N	N	1.615	3.197	3.049	0.148	1.0	0.2	s20_t1.0_a0.2_030.gff
227	N	N	2.812	5.667	5.365	0.302	1.0	0.2	s20_t1.0_a0.2_031.gff
143	N	N	2.125	4.396	4.132	0.264	1.0	0.2	s20_t1.0_a0.2_032.gff
247	N	N	2.791	6.595	6.310	0.285	1.0	0.2	s20_t1.0_a0.2_033.gff
42	N	N	1.744	3.493	3.297	0.196	1.0	0.2	s20_t1.0_a0.2_034.gff
11	N	N	1.489	2.951	2.786	0.165	1.0	0.2	s20_t1.0_a0.2_035.gff
12	N	N	1.510	2.988	2.806	0.182	1.0	0.2	s20_t1.0_a0.2_036.gff
54	N	N	1.711	3.409	3.223	0.186	1.0	0.2	s20_t1.0_a0.2_037.gff
46	N	N	1.607	3.243	3.071	0.172	1.0	0.2	s20_t1.0_a0.2_038.gff
26	N	N	1.617	3.199	3.024	0.175	1.0	0.2	s20_t1.0_a0.2_039.gff
423	N	N	3.212	6.735	6.474	0.261	1.0	0.2	s20_t1.0_a0.2_040.gff
293	N	N	3.201	6.459	6.193	0.266	1.0	0.2	s20_t1.0_a0.2_041.gff
618	N	N	3.759	7.601	7.338	0.263	1.0	0.2	s20_t1.0_a0.2_042.gff
156	N	N	2.068	4.234	4.042	0.192	1.0	0.2	s20_t1.0_a0.2_043.gff
437	N	N	3.859	7.622	7.343	0.279	1.0	0.2	s20_t1.0_a0.2_044.gff
96	N	N	1.943	3.980	3.769	0.211	1.0	0.2	s20_t1.0_a0.2_045.gff
132	N	N	2.070	4.290	4.056	0.234	1.0	0.2	s20_t1.0_a0.2_046.gff
63	N	N	1.852	3.788	3.586	0.202	1.0	0.2	s20_t1.0_a0.2_047.gff
1626	N	N	56.240	72.108	71.328	0.780	1.0	0.2	s20_t1.0_a0.2_048.gff
106	N	N	1.859	3.715	3.511	0.204	1.0	0.2	s20_t1.0_a0.2_049.gff
53	N	N	1.746	3.447	3.279	0.168	1.0	0.2	s20_t1.0_a0.2_050.gff
117	N	N	2.174	4.456	4.224	0.232	1.0	0.2	s20_t1.0_a0.2_051.gff
204	N	N	3.061	6.543	6.268	0.275	1.0	0.2	s20_t1.0_a0.2_052.gff
180	N	N	2.259	4.650	4.400	0.250	1.0	0.2	s20_t1.0_a0.2_053.gff
117	N	N	2.202	4.675	4.458	0.217	1.0	0.2	s20_t1.0_a0.2_054.gff
654	N	N	4.290	7.802	7.533	0.269	1.0	0.2	s20_t1.0_a0.2_055.gff
315	N	N	4.338	8.019	7.726	0.293	1.0	0.2	s20_t1.0_a0.2_056.gff
162	N	N	2.324	4.812	4.573	0.239	1.0	0.2	s20_t1.0_a0.2_057.gff
65	N	N	1.826	3.503	3.301	0.202	1.0	0.2	s20_t1.0_a0.2_058.gff
101	N	N	1.817	3.563	3.386	0.177	1.0	0.2	s20_t1.0_a0.2_059.gff
9	N	N	1.404	2.857	2.726	0.131	1.0	0.2	s20_t1.0_a0.2_060.gff
96	N	N	1.909	3.869	3.690	0.179	1.0	0.2	s20_t1.0_a0.2_061.gff
51	N	N	1.674	3.348	3.206	0.142	1.0	0.2	s20_t1.0_a0.2_062.gff
287	N	N	2.931	5.976	5.756	0.220	1.0	0.2	s20_t1.0_a0.2_063.gff
28	N	N	1.636	3.148	2.959	0.189	1.0	0.2	s20_t1.0_a0.2_064.gff
356	N	N	4.075	7.837	7.558	0.279	1.0	0.2	s20_t1.0_a0.2_065.gff
53	N	N	1.779	3.580	3.425	0.155	1.0	0.2	s20_t1.0_a0.2_066.gff
901	N	N	5.044	9.233	8.926	0.307	1.0	0.2	s20_t1.0_a0.2_067.gff
26	N	N	1.518	3.049	2.891	0.158	1.0	0.2	s20_t1.0_a0.2_068.gff
4421	N	N	147.498	208.154	193.269	14.885	1.0	0.2	s20_t1.0_a0.2_069.gff
